"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities"
2014-04-14,8,1,1,0.0349673202614379,1140.19599962235,625.107,453.58,10.026,NA,161.569,NA,NA,NA,NA
2014-04-15,7.6,-0.6,0.75,0.0777365819209039,2460.19599986076,809.808,755.252,NA,NA,102.027,591.85,78.393,NA,7.113
2014-04-16,7.4,-0.4,0.25,0.0988649887431325,4514.38000011444,849.887,2702.527,NA,NA,76.541,155.06,113.599,NA,NA
2014-04-17,6.75,-1.5,0.25,0.0438009895515453,5463.26999926567,6154.633,3035.325,NA,NA,59.52,701.305,NA,NA,7.404
2014-04-18,7,0.4,0.8,0.162157812456086,7768.73300004006,3984.248,3289.711,3.015,NA,77.82,764.495,NA,NA,4.048
2014-04-19,7.25,0,1,0.0309915620560589,4175.92699933052,567.912,2166.138,NA,NA,40.62,1228.776,NA,NA,NA
2014-04-20,7.8,0.6,0.8,0.109027777777778,3862.73200011253,1010.542,7112.603,NA,NA,49.857,238.994,NA,NA,4.086
2014-04-21,7.5,0.5,1,0.0156728927203065,3926.05399894715,394.55,2038.73,NA,NA,31.639,1098.115,NA,45.823,37.24
2014-04-22,7.2,0.4,0.8,0.0766593295230444,3076.06700086594,931.861,1811.021,92.419,NA,48.204,236.383,NA,NA,11.175
2014-04-23,7.5,-0.25,1,0.038353214849158,1905.50600004196,465.882,1097.172,NA,NA,45.045,246.926,NA,NA,4.018
2014-04-24,6.8,-0.25,0.5,0.053788536499506,6371.67999958992,1321.83,4001,NA,NA,47.369,346.604,NA,NA,54.44
2014-04-25,6.2,0.2,0.25,0.0664568248362065,2518.29400086403,1075.17,958.739,36.173,36.117,63.941,112.449,58.276,NA,80.459
2014-04-26,7.6,0.8,1,0.351336831202861,1157.12400126457,502.719,274.986,3.221,NA,56.551,21.188,291.6,NA,6.041
2014-04-27,7,-1,0.75,0.0659523518195497,1103.41099953651,397.266,1253.76,NA,NA,33.698,106.367,NA,NA,NA
2014-04-28,6.8,0.4,0.6,0.0640181452353608,6149.63000035286,1659.46,3933.48,42.321,19.223,53.324,333.192,NA,NA,22.672
2014-04-29,6,1.25,0,0.0508062140207729,4964.63600063324,1107.387,3795.142,34.18,NA,46.131,64.284,NA,NA,18.317
2014-04-30,6.33333333333333,0,0.666666666666667,0.152172765317976,7848.39100050926,2864.059,3758.786,161.998,36.37,30.546,231.163,NA,24.283,12.356
2014-05-01,7.4,-0.8,1,0.115907025400833,4160.1059999466,1766.575,1161.251,NA,NA,49.323,386.353,NA,NA,NA
2014-05-02,7,-1,1,0.0742442660108813,2124.88100028038,677.594,553.344,NA,NA,51.377,559.859,NA,5.015,NA
2014-05-03,6.83333333333333,-1,1,0.0388064971751413,3695.92500042915,1111.822,1985.619,4.022,373.503,52.302,NA,NA,167.169,NA
2014-05-04,7.5,-0.5,1,0.116475543950811,4252.37200045586,3850.214,1772.007,NA,51.786,41.382,22.098,NA,570.168,NA
2014-05-05,6,-0.666666666666667,0.333333333333333,0.0904747879778751,3596.70600008964,470.455,2541.14,NA,NA,36.501,325.121,NA,156.617,NA
2014-05-06,NA,NA,NA,0.1633714307454,3243.63099884987,2169.748,1259.555,NA,NA,NA,126.698,NA,179.859,NA
2014-05-07,7,1,0.75,0.0135513811833725,5929.43500161171,1133.381,3170.122,NA,NA,81.059,128.63,NA,NA,14.104
2014-05-08,7,0.333333333333333,1,0.0918472680249849,3935.66900134087,1460.574,1749.164,473.579,NA,43.482,170.914,34.145,NA,3.03
2014-05-09,7.4,-1,1,0.0837731818788648,3467.6779999733,867.252,2293.462,NA,208.114,94.83,NA,NA,NA,3.205
2014-05-10,7,-0.333333333333333,NA,0.0906999385119902,7138.25699877739,5083.968,4083.021,37.429,NA,25.385,973.348,NA,339.493,3.085
2014-05-11,7.25,-1,1,0.0453281779400406,2923.71699881554,2491.643,1630.876,NA,NA,48.338,22.641,NA,13.612,NA
2014-05-12,7,-0.8,0.6,0.0939778741437274,10976.6200003624,2272.021,5175.257,383.575,150.027,54.341,599.667,NA,NA,15.946
2014-05-13,7.5,-0.25,0.75,0.0542781378087958,5407.47499895096,1634.315,3263.034,125.265,14.125,48.437,93.593,NA,NA,22.11
2014-05-14,5.2,-1,-0.4,0.062171744331515,6067.96900010109,2639.153,3261.033,141.609,NA,62.052,512.613,23.2,NA,30.497
2014-05-15,6.4,0.2,0.4,0.0544963045336923,8698.70900130272,2112.834,5518.207,NA,39.219,69.465,217.191,NA,NA,NA
2014-05-16,7,0,1,0.021811648278147,4695.73400211334,717.025,1739.334,NA,NA,46.412,575.758,NA,NA,5.029
2014-05-17,7.6,-0.4,1,0.0300523034072386,5039.2520005703,2311.96,3430.633,NA,NA,44.292,252.347,NA,NA,21.213
2014-05-18,7.2,-0.2,0.6,0.0267361111111111,5945.0240008831,1312.851,4030.859,11.897,NA,57.466,223.059,NA,NA,NA
2014-05-19,7.4,0.25,0.75,0.00798611111111111,2916.73699998855,557.235,1889.453,12.04,NA,65.623,391.113,NA,NA,NA
2014-05-20,7,0,1,0.0445088779313378,2971.63999962807,1065.035,1458.823,NA,NA,31.353,395.141,NA,NA,NA
2014-05-21,6.2,0.2,0.4,0.0510416666666667,2280.17999911308,927.464,1214.94,8.402,NA,72.871,51.438,NA,NA,4.009
2014-05-22,6.6,0.6,0.8,0.0421364379084967,2992.29099941254,876.145,2184.172,NA,NA,73.486,36.485,NA,NA,NA
2014-05-23,6.8,-0.2,0.6,0.0112296695079597,3744.2699997425,857.536,1365.385,95.778,NA,50.345,659.98,NA,34.409,NA
2014-05-24,7.2,0,0.8,0.0114476032348423,1551.69699931145,322.092,754.465,NA,NA,68.185,142.219,NA,NA,NA
2014-05-25,7,0.25,1,0.0459628060263654,6859.74700021744,1230.517,875.823,NA,NA,48.402,19.062,NA,NA,NA
2014-05-26,7,0.8,1,0.00273543360433604,2361.5380012989,565.979,1536.63,NA,NA,61.729,137.684,NA,NA,NA
2014-05-27,6.2,0.5,0.666666666666667,0.0643994476715178,3875.86000084877,1172.075,1462.263,NA,NA,55.154,200.744,NA,NA,NA
2014-05-28,6.6,0,0.5,0.098223307659126,10057.185000658,2055.828,2280.96,NA,NA,66.32,126.869,544.488,NA,NA
2014-05-29,7,-0.4,0.8,0.0185718169374422,4196.08299922943,2042.371,2922.165,NA,NA,50.695,197.067,NA,NA,NA
2014-05-30,7.4,0.2,1.2,0.0356842478857898,5724.52500128746,807.116,3738.605,NA,NA,45.191,252.197,NA,NA,5.039
2014-05-31,7,1,1,0.212519562019632,1705.07799983025,1063.115,624.496,NA,NA,7.019,NA,NA,NA,NA
2014-06-01,6.83333333333333,-1,0.666666666666667,0.0473627517853799,5012.92099881172,1593.29,2309.314,NA,NA,81.069,759.968,NA,NA,NA
2014-06-02,6.75,0.333333333333333,1,0.0390477390072355,4468.58899998665,946.746,2473.986,212.05,NA,22.127,795.869,NA,NA,33.173
2014-06-03,7.8,0.4,1,0.0914769431418569,6519.17599964142,1579.198,3937.298,NA,NA,38.605,74.565,NA,NA,12.681
2014-06-04,7,0.5,1,0.0463848546954591,5223.86199951172,704.66,4459.023,NA,NA,38.774,68.938,NA,NA,NA
2014-06-05,7,0,1,0.15234272166248,2371.58899927139,1749.277,958.821,NA,NA,47.36,171.964,225.737,NA,NA
2014-06-06,7.5,0.5,1,0.189475974572143,2733.33199977875,945.898,1710.924,NA,NA,36.414,NA,NA,NA,2.072
2014-06-07,8,-1,NA,0.0818932379421678,5530.37799930573,5027.498,735.965,NA,NA,6.214,106.85,NA,NA,NA
2014-06-08,6.5,-1.5,1,0.0795101802403203,1131.19799947739,351.389,375.515,NA,NA,18.069,190.76,NA,NA,NA
2014-06-09,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
